"Step","Subsection","Problem ID","Problem","Completed","Revision","Difficulty","Problem URL","TUF Plus Solve URL","TUF Plus Editorial URL","Article URL","YouTube URL","Practice URL","Other Resources"
"Learn the basics","Things to Know in C++/Java/Python or any language","425","Input Output","Yes","No","Easy","https://takeuforward.org/c/c-basic-input-output/","https://takeuforward.org/plus/dsa/problems/input-output?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/input-output?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/c/c-basic-input-output/","https://youtu.be/EAR7De6Goz4?t=250","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","1211","Cpp Basics","Yes","No","Easy","https://takeuforward.org/data-structure/what-are-arrays-strings","https://takeuforward.org/plus/dsa/problems/cpp?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/cpp?source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/what-are-arrays-strings","https://youtu.be/EAR7De6Goz4?t=2415","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","424","If ElseIf","Yes","No","Easy","https://takeuforward.org/if-else/if-else-statements/","https://takeuforward.org/plus/dsa/problems/if-elseif?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/if-elseif?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/if-else/if-else-statements/","https://youtu.be/EAR7De6Goz4?t=1259","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","429","Switch Case","Yes","No","Easy","https://takeuforward.org/switch-case/switch-case-statements/","https://takeuforward.org/plus/dsa/problems/switch-case?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/switch-case?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/switch-case/switch-case-statements/","https://youtu.be/EAR7De6Goz4","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","2869","What are arrays, strings?","Yes","No","Easy","https://takeuforward.org/data-structure/what-are-arrays-strings","https://takeuforward.org/plus/dsa/problems/cpp?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/cpp?source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/what-are-arrays-strings","https://youtu.be/EAR7De6Goz4?t=2415","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","2867","For loops","Yes","No","Easy","https://takeuforward.org/for-loop/understanding-for-loop/","https://takeuforward.org/plus/dsa/problems/for-loop?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/for-loop?source=strivers-a2z-dsa-track","https://takeuforward.org/for-loop/understanding-for-loop/","https://youtu.be/EAR7De6Goz4?t=3096","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","2868","While loops","Yes","No","Easy","https://takeuforward.org/while-loop/while-loops-in-programming/","https://takeuforward.org/plus/dsa/problems/while-loop?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/while-loop?source=strivers-a2z-dsa-track","https://takeuforward.org/while-loop/while-loops-in-programming/","https://youtu.be/EAR7De6Goz4?t=3459","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","2866","Functions (Pass by Reference and Value)","Yes","No","Easy","https://takeuforward.org/data-structure/functions-pass-by-reference-and-value","https://takeuforward.org/plus/dsa/problems/pass-by-ref?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pass-by-ref?source=strivers-a2z-dsa-track","https://takeuforward.org/data-structure/functions-pass-by-reference-and-value","https://youtu.be/EAR7De6Goz4?t=3677","",""
"Learn the basics","Things to Know in C++/Java/Python or any language","1219","Theory with examples","Yes","No","Easy","https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/","https://takeuforward.org/plus/dsa/problems/theory-with-examples?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/theory-with-examples?source=strivers-a2z-dsa-track","https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/","https://youtu.be/FPu9Uld7W-E","",""
"Learn the basics","Build-up Logical Thinking","1216","Easy and Medium","Yes","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/easy-and-medium?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/easy-and-medium?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Build-up Logical Thinking","1205","Hard","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/hard?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/hard?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","401","Pattern 1","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-1?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-1?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","412","Pattern 2","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-2?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-2?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","416","Pattern 3","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-3?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-3?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","417","Pattern 4","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-4?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-4?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","418","Pattern 5","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-5?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-5?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","419","Pattern 6","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-6?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-6?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
"Learn the basics","Patterns","420","Pattern 7","No","No","Easy","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://takeuforward.org/plus/dsa/problems/pattern-7?source=strivers-a2z-dsa-track","https://takeuforward.org/plus/dsa/problems/pattern-7?tab=editorial&source=strivers-a2z-dsa-track","https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/","https://www.youtube.com/watch?v=tNm_NNSB3_w&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=3","",""
